Name,Subtitle,BatteryCapacity,TopSpeed,Acceleration,Range,Efficiency,FastChargeSpeed,Drive,Segment,NumberofSeats, PriceinGermany , PriceinUK ,region,address,aux address,type,power
Opel Amperanulle ,Battery Electric Vehicle ,       58 kWh ,150,4.6,335,173,210,Front Wheel Drive,D,5," $42,990 ", $-   ,NDMC,"Prithviraj Market, Rabindra Nagar, New Delhinull 110003","Electric Vehicle Charger, Prithviraj Market, Rabindra Nagar, New Delhinull 110003",DCnull001,15
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle ,       31 kWh ,130,10,160,194,0,Front Wheel Drive,C,5, $-   ," $31,680 ",NDMC,"Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhinull 110003","Electric Vehicle Charger, Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhinull 110003",DCnull001,15
Nissan Leaf ,Battery Electric Vehicle ,       36 kWh ,144,4.7,220,164,230,Front Wheel Drive,D,5," $29,990 "," $25,995 ",NDMC,"Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhinull 110003","Electric Vehicle Charger, Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhinull 110003",DCnull001,15
Audi enulltron Sportback 55 quattro,Battery Electric Vehicle ,       86.5 kWh,200,6.8,375,231,600,All Wheel Drive,D,5, $-   ," $79,900 ",NDMC,"Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhinull 110003","Electric Vehicle Charger, Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhinull 110003",DCnull001,15
Porsche Taycan Turbo S,Battery Electric Vehicle ,       83.7 kWh,260,9.5,390,215,860,All Wheel Drive,B,4," $186,336 "," $138,830 ",NDMC,"Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhinull 110021","Electric Vehicle Charger, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhinull 110021",DCnull001,15
Nissan enullNV200 Evalia ,Battery Electric Vehicle ,       36 kWh ,123,2.8,165,218,170,Front Wheel Drive,F,7," $43,433 "," $30,255 ",NDMC,"Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhinull 110001",DCnull001,15
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle ,       45 kWh,160,9.6,275,164,260,Rear Wheel Drive,C,5," $31,960 "," $27,120 ",NDMC,"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhinull 110001","Electric Vehicle Charger, Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhinull 110001",DCnull001,15
BMW iX3 ,Battery Electric Vehicle ,       74 kWh,180,8.1,385,192,520,Rear Wheel Drive,B,5," $66,300 "," $58,850 ",NDMC,"Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhinull 110021","Electric Vehicle Charger, Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhinull 110021",DCnull001,15
Nissan Leaf e+,Battery Electric Vehicle ,       56 kWh ,157,5.6,325,172,390,Front Wheel Drive,D,5," $38,350 "," $30,445 ",NDMC,"Khan Market, Rabindra Nagar, New Delhinull 110003","Electric Vehicle Charger, Khan Market, Rabindra Nagar, New Delhinull 110003",DCnull001,15
BMW i3 120 Ah,Battery Electric Vehicle ,       37.9 kWh,150,6.3,235,161,270,Rear Wheel Drive,D,4," $39,000 "," $31,305 ",NDMC,"Outside Devinder Collections, Shankar Market, Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Outside Devinder Collections, Shankar Market, Connaught Place, New Delhinull 110001",DCnull001,15
Mercedes EQA 250,Battery Electric Vehicle ,       66.5 kWh,160,5.1,355,187,420,Front Wheel Drive,D,5," $47,541 "," $43,495 ",NDMC,"Opposite HDFC Bank, Mnull Block, , Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Opposite HDFC Bank, Mnull Block, , Connaught Place, New Delhinull 110001",DCnull001,15
DS 3 Crossback EnullTense,Battery Electric Vehicle ,       45 kWh ,150,7.9,250,180,330,Front Wheel Drive,C,5," $30,040 "," $31,500 ",NDMC,"Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhinull 110001",DCnull001,15
BMW i3s 120 Ah,Battery Electric Vehicle ,       37.9 kWh,160,7.9,230,165,260,Rear Wheel Drive,B,4," $42,600 "," $32,305 ",NDMC,"Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhinull 110001","Electric Vehicle Charger, Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhinull 110001",DCnull001,15
Sono Sion ,Battery Electric Vehicle ,       47 kWh ,140,4,260,181,310,Front Wheel Drive,D,5," $25,500 ", $-   ,NDMC,"NDMC Parking,  Near Ferns n Petals, Near BPCL Petrol Pump,  C Block RR5, Connaught Place,  New Delhinull 110001","Electric Vehicle Charger, NDMC Parking,  Near Ferns n Petals, Near BPCL Petrol Pump,  C Block RR5, Connaught Place,  New Delhinull 110001",DCnull001,15
Audi enulltron GT RS,Battery Electric Vehicle ,       85 kWh,250,9.7,405,210,810,All Wheel Drive,C,4," $138,200 "," $110,950 ",NDMC,"NDMC Parking,  Near Croma, D Block RR5,  Opposite BPCL Petrol Pump,  Connaught Place, New Delhinull 110001","Electric Vehicle Charger, NDMC Parking,  Near Croma, D Block RR5,  Opposite BPCL Petrol Pump,  Connaught Place, New Delhinull 110001",DCnull001,15
Kia enullSoul 64 kWh,Battery Electric Vehicle ,       64 kWh,167,7.9,370,173,350,Front Wheel Drive,C,5, $-   ," $37,545 ",NDMC,"Next to PVR Plaza, H Block RR4, Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Next to PVR Plaza, H Block RR4, Connaught Place, New Delhinull 110001",DCnull001,15
Renault Zoe ZE50 R110,Battery Electric Vehicle ,       52 kWh,135,2.8,315,165,230,Front Wheel Drive,F,5," $31,990 "," $26,795 ",NDMC,"Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhinull 110001",DCnull001,15
Hyundai IONIQ Electric,Battery Electric Vehicle ,       38.3 kWh,165,11.9,250,153,220,Front Wheel Drive,A,5," $35,350 "," $30,550 ",NDMC,"Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhinull 110001",DCnull001,15
Lightyear One ,Battery Electric Vehicle ,       60 kWh ,150,8.2,575,104,540,All Wheel Drive,B,5," $149,000 ", $-   ,NDMC,"Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhinull 110001","Electric Vehicle Charger, Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhinull 110001",DCnull001,15
Tesla Roadster ,Battery Electric Vehicle ,       200 kWh ,410,7.3,970,206,920,All Wheel Drive,B,4," $215,000 "," $189,000 ",NDMC,"Sarojini Nagar Market, Sarojini Nagar, New Delhinull 110023","Electric Vehicle Charger, Sarojini Nagar Market, Sarojini Nagar, New Delhinull 110023",DCnull001,15
Peugeot enull208 ,Battery Electric Vehicle ,       45 kWh ,150,8.1,275,164,370,Front Wheel Drive,B,5," $30,450 "," $27,225 ",NDMC,"Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhinull 110001","Electric Vehicle Charger, Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhinull 110001",DCnull001,15
Honda e ,Battery Electric Vehicle ,       28.5 kWh ,145,5.1,170,168,190,Rear Wheel Drive,D,4," $33,850 "," $27,660 ",NDMC,"Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003","Electric Vehicle Charger, Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003",DCnull001,15
CUPRA Born 110 kW null 55 kWh,Battery Electric Vehicle ,       45 kWh,160,10,275,164,440,Rear Wheel Drive,C,5," $32,700 "," $28,500 ",NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",DCnull001,15
Audi Q4 enulltron 35,Battery Electric Vehicle ,       51.5 kWh,160,3.5,280,184,390,Rear Wheel Drive,F,5," $41,900 "," $40,750 ",NDMC,"FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001","Electric Vehicle Charger, FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001",DCnull001,15
Tesla Model Y Long Range Dual Motor,Battery Electric Vehicle ,       76 kWh ,217,3.4,450,169,750,All Wheel Drive,D,7," $59,965 "," $54,000 ",NDMC,"Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021","Electric Vehicle Charger, Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021",DCnull001,15
Tesla Model Y Performance,Battery Electric Vehicle ,       76 kWh ,241,7.5,430,177,720,All Wheel Drive,C,7," $66,965 "," $60,000 ",NDMC,"PSOI Club, Chanakyapuri, New Delhi 110021","Electric Vehicle Charger, PSOI Club, Chanakyapuri, New Delhi 110021",DCnull001,15
Porsche Taycan 4 Cross Turismo,Battery Electric Vehicle ,       83.7 kWh,220,9,405,207,850,All Wheel Drive,C,4," $93,635 "," $79,340 ",NDMC,"Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001",DCnull001,15
Skoda Enyaq iV 50,Battery Electric Vehicle ,       52 kWh,160,4.9,295,176,240,Rear Wheel Drive,C,5," $33,800 ", $-   ,NDMC,"Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001",DCnull001,15
Volkswagen enullUp! ,Battery Electric Vehicle ,       32.3 kWh,130,7.3,205,158,170,Front Wheel Drive,B,4, $-   , $-   ,NDMC,"16nullB, Woodland Showroom, Block B, Connaught Place, New Delhi 110001","Electric Vehicle Charger, 16nullB, Woodland Showroom, Block B, Connaught Place, New Delhi 110001",DCnull001,15
SEAT Mii Electric ,Battery Electric Vehicle ,       32.3 kWh,130,8.5,205,158,170,Front Wheel Drive,B,4," $24,650 ", $-   ,CMRL,Nandanam Metro station Chennai  (CMRL),"Electric Vehicle Charger, Nandanam Metro station Chennai  (CMRL)",DCnull001,15
Opel Corsanulle ,Battery Electric Vehicle ,       45 kWh ,150,6.8,275,164,370,Front Wheel Drive,E,5," $29,000 "," $27,140 ",CMRL,Nandanam Metro station Chennai  (CMRL),"Electric Vehicle Charger, Nandanam Metro station Chennai  (CMRL)",ACnull001,10
MG ZS EV,Battery Electric Vehicle ,       42.5 kWh ,140,7.8,220,193,260,Front Wheel Drive,C,5," $31,990 "," $25,995 ",Maha Metro,"Nagpur Airport Metro Station, Nagpur","Electric Vehicle Charger, Nagpur Airport Metro Station, Nagpur",DCnull001,15
Volkswagen ID.3 Pro,Battery Electric Vehicle ,       58 kWh,160,11.4,350,166,440,Rear Wheel Drive,B,5," $34,995 "," $28,420 ",Maha Metro,"Nagpur Airport Metro Station, Nagpur","Electric Vehicle Charger, Nagpur Airport Metro Station, Nagpur",ACnull001,10
Volkswagen ID.3 Pro S,Battery Electric Vehicle ,       77 kWh,160,3,450,171,550,Rear Wheel Drive,N,4," $41,995 "," $38,800 ",NDMC,"Yashwant Place, Chanakyapuri, New Delhinull 110021","Electric Vehicle Charger, Yashwant Place, Chanakyapuri, New Delhinull 110021",DCnull001,15
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle ,       64 kWh,167,9,395,162,370,Front Wheel Drive,C,5," $41,850 ", $-   ,NDMC,"Outside Bharat Sanchar Bhawan, Ashoke Road, Janpath, New Delhinull 110001","Electric Vehicle Charger, Outside Bharat Sanchar Bhawan, Ashoke Road, Janpath, New Delhinull 110001",DCnull001,15
Renault Zoe ZE50 R135,Battery Electric Vehicle ,       52 kWh,140,7.3,310,168,230,Front Wheel Drive,C,5," $33,990 "," $28,795 ",NDMC,"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",DCnull001,15
Peugeot enull2008 SUV ,Battery Electric Vehicle ,       45 kWh ,150,7.5,250,180,330,Front Wheel Drive,C,5," $35,450 "," $30,730 ",NDMC,"Akashvani Bhawan, Sansad Marg, New Delhi 110001","Electric Vehicle Charger, Akashvani Bhawan, Sansad Marg, New Delhi 110001",DCnull001,15
Audi enulltron 50 quattro,Battery Electric Vehicle ,       64.7 kWh,190,6.5,280,231,470,All Wheel Drive,C,5," $69,100 "," $60,600 ",NDMC,"Opposite IVORY Mart, F Block, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Opposite IVORY Mart, F Block, Inner Circle, Connaught Place, New Delhi 110001",DCnull001,15
Porsche Taycan Turbo,Battery Electric Vehicle ,       83.7 kWh,260,9.5,400,209,840,All Wheel Drive,B,4," $153,016 "," $115,860 ",NDMC,"Near ICICI Bank/Metro Gate No. 7 & 8, Block A, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Near ICICI Bank/Metro Gate No. 7 & 8, Block A, Inner Circle, Connaught Place, New Delhi 110001",DCnull001,15
Smart EQ fortwo coupe,Battery Electric Vehicle ,       16.7 kWh ,130,5,100,167,null,Rear Wheel Drive,C,2," $18,460 "," $19,200 ",NDMC,"Gopal Das Building, Barakhamba Road, Connaught Lane, Barakhamba, New Delhi110001","Electric Vehicle Charger, Gopal Das Building, Barakhamba Road, Connaught Lane, Barakhamba, New Delhi110001",DCnull001,15
Smart EQ fortwo cabrio,Battery Electric Vehicle ,       16.7 kWh ,130,3.8,95,176,null,Rear Wheel Drive,F,2," $21,720 "," $21,620 ",NDMC,"Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi","Electric Vehicle Charger, Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi",DCnull001,15
Smart EQ forfour ,Battery Electric Vehicle ,       16.7 kWh ,130,9.9,95,176,null,Rear Wheel Drive,B,4," $19,120 "," $19,795 ",NDMC,"Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001","Electric Vehicle Charger, Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001",DCnull001,15
Honda e Advance,Battery Electric Vehicle ,       28.5 kWh ,145,5.7,170,168,190,Rear Wheel Drive,E,4," $38,000 "," $30,160 ",NDMC,"Post Office, Laxmi Bai Nagar, Safderjung Flyover, New Delhi","Electric Vehicle Charger, Post Office, Laxmi Bai Nagar, Safderjung Flyover, New Delhi",DCnull001,15
Byton MnullByte 72 kWh 2WD,Battery Electric Vehicle ,       72 kWh ,190,12.3,325,222,420,Rear Wheel Drive,A,5," $53,500 "," $50,000 ",Noida Authority,"Electronic City , Metro Station parking gate no.2, Noida null 201301","Electric Vehicle Charger, Electronic City , Metro Station parking gate no.2, Noida null 201301",DCnull001,15
Byton MnullByte 95 kWh 4WD,Battery Electric Vehicle ,       95 kWh ,190,12.3,390,244,460,All Wheel Drive,A,5," $64,000 "," $60,000 ",Noida Authority,"H Block market, Haldiram, Car parking , sector null 63 , Noida null 201301","Electric Vehicle Charger, H Block market, Haldiram, Car parking , sector null 63 , Noida null 201301",DCnull001,15
Renault Zoe ZE40 R110,Battery Electric Vehicle ,       41 kWh,135,7.9,255,161,230,Front Wheel Drive,B,5," $29,990 ", $-   ,NDMC,"Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhinull 110003","Electric Vehicle Charger, Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhinull 110003",DCnull001,15
Porsche Taycan 4S,Battery Electric Vehicle ,       71 kWh,250,7.3,375,189,750,All Wheel Drive,B,4," $106,487 "," $83,580 ",NDMC,"Talkatora Garden, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Garden, President's Estate, New Delhi110004",DCnull001,15
Porsche Taycan 4S Plus,Battery Electric Vehicle ,       83.7 kWh,250,4,435,192,910,All Wheel Drive,F,4," $113,008 "," $88,193 ",NDMC,"Talkatora Stadium, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Stadium, President's Estate, New Delhi110004",DCnull001,15
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle ,       39.2 kWh,155,10,250,157,210,Front Wheel Drive,F,5," $34,850 ", $-   ,NDMC,"Indian Coffee House, Connaught Place, New Delhi","Electric Vehicle Charger, Indian Coffee House, Connaught Place, New Delhi",DCnull001,15
Mercedes EQV 300 Long,Battery Electric Vehicle ,       90 kWh,160,9,320,281,280,Front Wheel Drive,C,7," $71,388 "," $70,665 ",CMRL,"High Court Metro Station, Chennai","Electric Vehicle Charger, High Court Metro Station, Chennai",DCnull001,15
Mazda MXnull30 ,Battery Electric Vehicle ,       30 kWh ,140,5.7,170,176,180,Front Wheel Drive,E,5," $34,490 "," $26,045 ",CMRL,"High Court Metro Station, Chennai","Electric Vehicle Charger, High Court Metro Station, Chennai",ACnull001,10
Ford Mustang MachnullE SR RWD,Battery Electric Vehicle ,       68 kWh,180,2.1,345,197,380,Rear Wheel Drive,S,5," $46,900 "," $41,330 ",CMRL,"Koyam Bedu  Metro Station, Chennai","Electric Vehicle Charger, Koyam Bedu  Metro Station, Chennai",DCnull001,15
Ford Mustang MachnullE ER RWD,Battery Electric Vehicle ,       88 kWh,180,8.5,440,200,430,Rear Wheel Drive,B,5," $54,475 "," $49,980 ",CMRL,"Koyam Bedu  Metro Station, Chennai","Electric Vehicle Charger, Koyam Bedu  Metro Station, Chennai",ACnull001,10
Ford Mustang MachnullE SR AWD,Battery Electric Vehicle ,       68 kWh,180,8.8,330,206,360,All Wheel Drive,C,5," $54,000 "," $46,650 ",CMRL,"Anna Nagar East Metro Station, Chennai (CMRL)","Electric Vehicle Charger, Anna Nagar East Metro Station, Chennai (CMRL)",DCnull001,15
Ford Mustang MachnullE ER AWD,Battery Electric Vehicle ,       88 kWh,180,4.6,420,210,410,All Wheel Drive,F,5," $62,900 "," $57,030 ",CMRL,"Anna Nagar East Metro Station, Chennai (CMRL)","Electric Vehicle Charger, Anna Nagar East Metro Station, Chennai (CMRL)",ACnull001,10
Ford Mustang MachnullE GT,Battery Electric Vehicle ,       88 kWh,200,8.3,410,215,400,All Wheel Drive,B,5, $-   ," $67,225 ",NDMC,"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023","Electric Vehicle Charger, NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023",DCnull001,15
Audi enulltron Sportback 50 quattro,Battery Electric Vehicle ,       64.7 kWh,190,8.7,295,219,490,All Wheel Drive,B,5," $71,350 "," $69,100 ",NDMC,"Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhinull 110003","Electric Vehicle Charger, Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhinull 110003",DCnull001,15
Tesla Cybertruck Single Motor,Battery Electric Vehicle ,       100 kWh ,180,12.6,390,256,740,Rear Wheel Drive,A,7," $45,000 "," $39,000 ",NDMC,"Janpath Guest House, Connaught Place, New Delhi","Electric Vehicle Charger, Janpath Guest House, Connaught Place, New Delhi",DCnull001,15
